ISO3,Country,Residence / Facility Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Water,2013,48.5352,15401038.23418,Basic service
AFG,Afghanistan,rural,Water,2013,48.5352,11647343.33885,Basic service
AFG,Afghanistan,non_hospital,Water,2013,48.5352,15401038.23418,Basic service
AFG,Afghanistan,government,Water,2013,48.5352,15401038.23418,Basic service
AFG,Afghanistan,total,Water,2013,26.3648,8365996.07782,Limited service
AFG,Afghanistan,rural,Water,2013,26.3648,6326951.93715,Limited service
AFG,Afghanistan,non_hospital,Water,2013,26.3648,8365996.07782,Limited service
AFG,Afghanistan,government,Water,2013,26.3648,8365996.07782,Limited service
AFG,Afghanistan,total,Environmental cleaning,2013,100,31731688,Insufficient data
AFG,Afghanistan,urban,Environmental cleaning,2013,100,7733964,Insufficient data
AFG,Afghanistan,rural,Environmental cleaning,2013,100,23997724,Insufficient data
AFG,Afghanistan,hospital,Environmental cleaning,2013,100,31731688,Insufficient data
AFG,Afghanistan,non_hospital,Environmental cleaning,2013,100,31731688,Insufficient data
AFG,Afghanistan,government,Environmental cleaning,2013,100,31731688,Insufficient data
AFG,Afghanistan,non_government,Environmental cleaning,2013,100,31731688,Insufficient data
AFG,Afghanistan,total,Hygiene,2013,100,31731688,Insufficient data
AFG,Afghanistan,urban,Hygiene,2013,100,7733964,Insufficient data
AFG,Afghanistan,rural,Hygiene,2013,100,23997724,Insufficient data
AFG,Afghanistan,hospital,Hygiene,2013,100,31731688,Insufficient data
AFG,Afghanistan,non_hospital,Hygiene,2013,100,31731688,Insufficient data
AFG,Afghanistan,government,Hygiene,2013,100,31731688,Insufficient data
AFG,Afghanistan,non_government,Hygiene,2013,100,31731688,Insufficient data
AFG,Afghanistan,total,Sanitation,2013,63.05,20006829.284,Insufficient data
AFG,Afghanistan,urban,Sanitation,2013,100,7733964,Insufficient data
AFG,Afghanistan,rural,Sanitation,2013,63.05,15130564.982,Insufficient data
AFG,Afghanistan,hospital,Sanitation,2013,100,31731688,Insufficient data
AFG,Afghanistan,non_hospital,Sanitation,2013,63.05,20006829.284,Insufficient data
AFG,Afghanistan,government,Sanitation,2013,63.05,20006829.284,Insufficient data
AFG,Afghanistan,non_government,Sanitation,2013,100,31731688,Insufficient data
AFG,Afghanistan,total,Water,2013,0,0,Insufficient data
AFG,Afghanistan,urban,Water,2013,100,7733964,Insufficient data
AFG,Afghanistan,rural,Water,2013,0,0,Insufficient data
AFG,Afghanistan,hospital,Water,2013,100,31731688,Insufficient data
AFG,Afghanistan,non_hospital,Water,2013,0,0,Insufficient data
AFG,Afghanistan,government,Water,2013,0,0,Insufficient data
AFG,Afghanistan,non_government,Water,2013,100,31731688,Insufficient data
