ISO3,Country,Residence / Facility Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Environmental cleaning,2002,100,21979924,Insufficient data
AFG,Afghanistan,urban,Environmental cleaning,2002,100,4892951,Insufficient data
AFG,Afghanistan,rural,Environmental cleaning,2002,100,17086974,Insufficient data
AFG,Afghanistan,hospital,Environmental cleaning,2002,100,21979924,Insufficient data
AFG,Afghanistan,non_hospital,Environmental cleaning,2002,100,21979924,Insufficient data
AFG,Afghanistan,government,Environmental cleaning,2002,100,21979924,Insufficient data
AFG,Afghanistan,non_government,Environmental cleaning,2002,100,21979924,Insufficient data
AFG,Afghanistan,total,Hygiene,2002,100,21979924,Insufficient data
AFG,Afghanistan,urban,Hygiene,2002,100,4892951,Insufficient data
AFG,Afghanistan,rural,Hygiene,2002,100,17086974,Insufficient data
AFG,Afghanistan,hospital,Hygiene,2002,100,21979924,Insufficient data
AFG,Afghanistan,non_hospital,Hygiene,2002,100,21979924,Insufficient data
AFG,Afghanistan,government,Hygiene,2002,100,21979924,Insufficient data
AFG,Afghanistan,non_government,Hygiene,2002,100,21979924,Insufficient data
AFG,Afghanistan,total,Sanitation,2002,100,21979924,Insufficient data
AFG,Afghanistan,urban,Sanitation,2002,100,4892951,Insufficient data
AFG,Afghanistan,rural,Sanitation,2002,100,17086974,Insufficient data
AFG,Afghanistan,hospital,Sanitation,2002,100,21979924,Insufficient data
AFG,Afghanistan,non_hospital,Sanitation,2002,100,21979924,Insufficient data
AFG,Afghanistan,government,Sanitation,2002,100,21979924,Insufficient data
AFG,Afghanistan,non_government,Sanitation,2002,100,21979924,Insufficient data
AFG,Afghanistan,total,Water,2002,100,21979924,Insufficient data
AFG,Afghanistan,urban,Water,2002,100,4892951,Insufficient data
AFG,Afghanistan,rural,Water,2002,100,17086974,Insufficient data
AFG,Afghanistan,hospital,Water,2002,100,21979924,Insufficient data
AFG,Afghanistan,non_hospital,Water,2002,100,21979924,Insufficient data
AFG,Afghanistan,government,Water,2002,100,21979924,Insufficient data
AFG,Afghanistan,non_government,Water,2002,100,21979924,Insufficient data
AFG,Afghanistan,total,Health care waste,2002,100,21979924,Insufficient data
AFG,Afghanistan,urban,Health care waste,2002,100,4892951,Insufficient data
AFG,Afghanistan,rural,Health care waste,2002,100,17086974,Insufficient data
AFG,Afghanistan,hospital,Health care waste,2002,100,21979924,Insufficient data
AFG,Afghanistan,non_hospital,Health care waste,2002,100,21979924,Insufficient data
AFG,Afghanistan,government,Health care waste,2002,100,21979924,Insufficient data
AFG,Afghanistan,non_government,Health care waste,2002,100,21979924,Insufficient data
AGO,Angola,total,Environmental cleaning,2002,100,17572648,Insufficient data
AGO,Angola,urban,Environmental cleaning,2002,100,9218787,Insufficient data
AGO,Angola,rural,Environmental cleaning,2002,100,8353861.5,Insufficient data
AGO,Angola,hospital,Environmental cleaning,2002,100,17572648,Insufficient data
AGO,Angola,non_hospital,Environmental cleaning,2002,100,17572648,Insufficient data
AGO,Angola,government,Environmental cleaning,2002,100,17572648,Insufficient data
AGO,Angola,non_government,Environmental cleaning,2002,100,17572648,Insufficient data
AGO,Angola,total,Hygiene,2002,100,17572648,Insufficient data
AGO,Angola,urban,Hygiene,2002,100,9218787,Insufficient data
AGO,Angola,rural,Hygiene,2002,100,8353861.5,Insufficient data
AGO,Angola,hospital,Hygiene,2002,100,17572648,Insufficient data
AGO,Angola,non_hospital,Hygiene,2002,100,17572648,Insufficient data
AGO,Angola,government,Hygiene,2002,100,17572648,Insufficient data
AGO,Angola,non_government,Hygiene,2002,100,17572648,Insufficient data
AGO,Angola,total,Sanitation,2002,100,17572648,Insufficient data
AGO,Angola,urban,Sanitation,2002,100,9218787,Insufficient data
AGO,Angola,rural,Sanitation,2002,100,8353861.5,Insufficient data
AGO,Angola,hospital,Sanitation,2002,100,17572648,Insufficient data
AGO,Angola,non_hospital,Sanitation,2002,100,17572648,Insufficient data
AGO,Angola,government,Sanitation,2002,100,17572648,Insufficient data
AGO,Angola,non_government,Sanitation,2002,100,17572648,Insufficient data
AGO,Angola,total,Water,2002,100,17572648,Insufficient data
AGO,Angola,urban,Water,2002,100,9218787,Insufficient data
AGO,Angola,rural,Water,2002,100,8353861.5,Insufficient data
AGO,Angola,hospital,Water,2002,100,17572648,Insufficient data
AGO,Angola,non_hospital,Water,2002,100,17572648,Insufficient data
AGO,Angola,government,Water,2002,100,17572648,Insufficient data
AGO,Angola,non_government,Water,2002,100,17572648,Insufficient data
AGO,Angola,total,Health care waste,2002,100,17572648,Insufficient data
AGO,Angola,urban,Health care waste,2002,100,9218787,Insufficient data
AGO,Angola,rural,Health care waste,2002,100,8353861.5,Insufficient data
AGO,Angola,hospital,Health care waste,2002,100,17572648,Insufficient data
AGO,Angola,non_hospital,Health care waste,2002,100,17572648,Insufficient data
AGO,Angola,government,Health care waste,2002,100,17572648,Insufficient data
AGO,Angola,non_government,Health care waste,2002,100,17572648,Insufficient data
AND,Andorra,total,Water,2002,100,70049,Basic service
AND,Andorra,total,Health care waste,2002,100,70049,Basic service
AND,Andorra,total,Water,2002,0,0,Limited service
AND,Andorra,total,Health care waste,2002,0,0,Limited service
AND,Andorra,total,Environmental cleaning,2002,100,70049,Insufficient data
AND,Andorra,urban,Environmental cleaning,2002,100,64193.602,Insufficient data
AND,Andorra,rural,Environmental cleaning,2002,100,5855.3965,Insufficient data
