ISO3,Country,Residence / Facility Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Environmental cleaning,2003,100,23064852,Insufficient data
AFG,Afghanistan,urban,Environmental cleaning,2003,100,5155686.5,Insufficient data
AFG,Afghanistan,rural,Environmental cleaning,2003,100,17909166,Insufficient data
AFG,Afghanistan,hospital,Environmental cleaning,2003,100,23064852,Insufficient data
AFG,Afghanistan,non_hospital,Environmental cleaning,2003,100,23064852,Insufficient data
AFG,Afghanistan,government,Environmental cleaning,2003,100,23064852,Insufficient data
AFG,Afghanistan,non_government,Environmental cleaning,2003,100,23064852,Insufficient data
AFG,Afghanistan,total,Hygiene,2003,100,23064852,Insufficient data
AFG,Afghanistan,urban,Hygiene,2003,100,5155686.5,Insufficient data
AFG,Afghanistan,rural,Hygiene,2003,100,17909166,Insufficient data
AFG,Afghanistan,hospital,Hygiene,2003,100,23064852,Insufficient data
AFG,Afghanistan,non_hospital,Hygiene,2003,100,23064852,Insufficient data
AFG,Afghanistan,government,Hygiene,2003,100,23064852,Insufficient data
AFG,Afghanistan,non_government,Hygiene,2003,100,23064852,Insufficient data
AFG,Afghanistan,total,Sanitation,2003,100,23064852,Insufficient data
AFG,Afghanistan,urban,Sanitation,2003,100,5155686.5,Insufficient data
AFG,Afghanistan,rural,Sanitation,2003,100,17909166,Insufficient data
AFG,Afghanistan,hospital,Sanitation,2003,100,23064852,Insufficient data
AFG,Afghanistan,non_hospital,Sanitation,2003,100,23064852,Insufficient data
AFG,Afghanistan,government,Sanitation,2003,100,23064852,Insufficient data
AFG,Afghanistan,non_government,Sanitation,2003,100,23064852,Insufficient data
AFG,Afghanistan,total,Water,2003,100,23064852,Insufficient data
AFG,Afghanistan,urban,Water,2003,100,5155686.5,Insufficient data
AFG,Afghanistan,rural,Water,2003,100,17909166,Insufficient data
AFG,Afghanistan,hospital,Water,2003,100,23064852,Insufficient data
AFG,Afghanistan,non_hospital,Water,2003,100,23064852,Insufficient data
AFG,Afghanistan,government,Water,2003,100,23064852,Insufficient data
AFG,Afghanistan,non_government,Water,2003,100,23064852,Insufficient data
AFG,Afghanistan,total,Health care waste,2003,100,23064852,Insufficient data
AFG,Afghanistan,urban,Health care waste,2003,100,5155686.5,Insufficient data
AFG,Afghanistan,rural,Health care waste,2003,100,17909166,Insufficient data
AFG,Afghanistan,hospital,Health care waste,2003,100,23064852,Insufficient data
AFG,Afghanistan,non_hospital,Health care waste,2003,100,23064852,Insufficient data
AFG,Afghanistan,government,Health care waste,2003,100,23064852,Insufficient data
AFG,Afghanistan,non_government,Health care waste,2003,100,23064852,Insufficient data
AGO,Angola,total,Environmental cleaning,2003,100,18203370,Insufficient data
AGO,Angola,urban,Environmental cleaning,2003,100,9765198,Insufficient data
