ISO3,Country,Residence / Facility Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Water,2007,48.5352,12918513.23078,Basic service
AFG,Afghanistan,rural,Water,2007,48.5352,9932656.8479,Basic service
AFG,Afghanistan,non_hospital,Water,2007,48.5352,12918513.23078,Basic service
AFG,Afghanistan,government,Water,2007,48.5352,12918513.23078,Basic service
AFG,Afghanistan,total,Water,2007,26.3648,7017463.97722,Limited service
AFG,Afghanistan,rural,Water,2007,26.3648,5395517.3001,Limited service
AFG,Afghanistan,non_hospital,Water,2007,26.3648,7017463.97722,Limited service
AFG,Afghanistan,government,Water,2007,26.3648,7017463.97722,Limited service
AFG,Afghanistan,total,Environmental cleaning,2007,100,26616792,Insufficient data
AFG,Afghanistan,urban,Environmental cleaning,2007,100,6151939.5,Insufficient data
AFG,Afghanistan,rural,Environmental cleaning,2007,100,20464852,Insufficient data
AFG,Afghanistan,hospital,Environmental cleaning,2007,100,26616792,Insufficient data
AFG,Afghanistan,non_hospital,Environmental cleaning,2007,100,26616792,Insufficient data
AFG,Afghanistan,government,Environmental cleaning,2007,100,26616792,Insufficient data
AFG,Afghanistan,non_government,Environmental cleaning,2007,100,26616792,Insufficient data
AFG,Afghanistan,total,Hygiene,2007,100,26616792,Insufficient data
AFG,Afghanistan,urban,Hygiene,2007,100,6151939.5,Insufficient data
AFG,Afghanistan,rural,Hygiene,2007,100,20464852,Insufficient data
AFG,Afghanistan,hospital,Hygiene,2007,100,26616792,Insufficient data
AFG,Afghanistan,non_hospital,Hygiene,2007,100,26616792,Insufficient data
AFG,Afghanistan,government,Hygiene,2007,100,26616792,Insufficient data
AFG,Afghanistan,non_government,Hygiene,2007,100,26616792,Insufficient data
AFG,Afghanistan,total,Sanitation,2007,63.05,16781887.356,Insufficient data
AFG,Afghanistan,urban,Sanitation,2007,100,6151939.5,Insufficient data
AFG,Afghanistan,rural,Sanitation,2007,63.05,12903089.186,Insufficient data
AFG,Afghanistan,hospital,Sanitation,2007,100,26616792,Insufficient data
AFG,Afghanistan,non_hospital,Sanitation,2007,63.05,16781887.356,Insufficient data
AFG,Afghanistan,government,Sanitation,2007,63.05,16781887.356,Insufficient data
AFG,Afghanistan,non_government,Sanitation,2007,100,26616792,Insufficient data
AFG,Afghanistan,total,Water,2007,0,0,Insufficient data
AFG,Afghanistan,urban,Water,2007,100,6151939.5,Insufficient data
AFG,Afghanistan,rural,Water,2007,0,0,Insufficient data
AFG,Afghanistan,hospital,Water,2007,100,26616792,Insufficient data
AFG,Afghanistan,non_hospital,Water,2007,0,0,Insufficient data
AFG,Afghanistan,government,Water,2007,0,0,Insufficient data
AFG,Afghanistan,non_government,Water,2007,100,26616792,Insufficient data
AFG,Afghanistan,total,Health care waste,2007,100,26616792,Insufficient data
AFG,Afghanistan,urban,Health care waste,2007,100,6151939.5,Insufficient data
AFG,Afghanistan,rural,Health care waste,2007,100,20464852,Insufficient data
AFG,Afghanistan,hospital,Health care waste,2007,100,26616792,Insufficient data
AFG,Afghanistan,non_hospital,Health care waste,2007,100,26616792,Insufficient data
AFG,Afghanistan,government,Health care waste,2007,100,26616792,Insufficient data
AFG,Afghanistan,non_government,Health care waste,2007,100,26616792,Insufficient data
AFG,Afghanistan,total,Sanitation,2007,36.95,9834904.644,No service
AFG,Afghanistan,rural,Sanitation,2007,36.95,7561762.814,No service
AFG,Afghanistan,non_hospital,Sanitation,2007,36.95,9834904.644,No service
AFG,Afghanistan,government,Sanitation,2007,36.95,9834904.644,No service
AFG,Afghanistan,total,Water,2007,25.1,6680814.792,No service
AFG,Afghanistan,rural,Water,2007,25.1,5136677.852,No service
AFG,Afghanistan,non_hospital,Water,2007,25.1,6680814.792,No service
AFG,Afghanistan,government,Water,2007,25.1,6680814.792,No service
AGO,Angola,total,Environmental cleaning,2007,100,20997688,Insufficient data
AGO,Angola,urban,Environmental cleaning,2007,100,12078710,Insufficient data
AGO,Angola,rural,Environmental cleaning,2007,100,8918978,Insufficient data
AGO,Angola,hospital,Environmental cleaning,2007,100,20997688,Insufficient data
AGO,Angola,non_hospital,Environmental cleaning,2007,100,20997688,Insufficient data
AGO,Angola,government,Environmental cleaning,2007,100,20997688,Insufficient data
AGO,Angola,non_government,Environmental cleaning,2007,100,20997688,Insufficient data
AGO,Angola,total,Hygiene,2007,100,20997688,Insufficient data
AGO,Angola,urban,Hygiene,2007,100,12078710,Insufficient data
AGO,Angola,rural,Hygiene,2007,100,8918978,Insufficient data
AGO,Angola,hospital,Hygiene,2007,100,20997688,Insufficient data
AGO,Angola,non_hospital,Hygiene,2007,100,20997688,Insufficient data
AGO,Angola,government,Hygiene,2007,100,20997688,Insufficient data
AGO,Angola,non_government,Hygiene,2007,100,20997688,Insufficient data
AGO,Angola,total,Sanitation,2007,100,20997688,Insufficient data
AGO,Angola,urban,Sanitation,2007,100,12078710,Insufficient data
AGO,Angola,rural,Sanitation,2007,100,8918978,Insufficient data
AGO,Angola,hospital,Sanitation,2007,100,20997688,Insufficient data
AGO,Angola,non_hospital,Sanitation,2007,100,20997688,Insufficient data
AGO,Angola,government,Sanitation,2007,100,20997688,Insufficient data
AGO,Angola,non_government,Sanitation,2007,100,20997688,Insufficient data
AGO,Angola,total,Water,2007,100,20997688,Insufficient data
AGO,Angola,urban,Water,2007,100,12078710,Insufficient data
AGO,Angola,rural,Water,2007,100,8918978,Insufficient data
AGO,Angola,hospital,Water,2007,100,20997688,Insufficient data
AGO,Angola,non_hospital,Water,2007,100,20997688,Insufficient data
AGO,Angola,government,Water,2007,100,20997688,Insufficient data
AGO,Angola,non_government,Water,2007,100,20997688,Insufficient data
AGO,Angola,total,Health care waste,2007,100,20997688,Insufficient data
AGO,Angola,urban,Health care waste,2007,100,12078710,Insufficient data
AGO,Angola,rural,Health care waste,2007,100,8918978,Insufficient data
AGO,Angola,hospital,Health care waste,2007,100,20997688,Insufficient data
AGO,Angola,non_hospital,Health care waste,2007,100,20997688,Insufficient data
AGO,Angola,government,Health care waste,2007,100,20997688,Insufficient data
AGO,Angola,non_government,Health care waste,2007,100,20997688,Insufficient data
AND,Andorra,total,Water,2007,100,82683,Basic service
AND,Andorra,total,Health care waste,2007,100,82683,Basic service
AND,Andorra,total,Water,2007,0,0,Limited service
AND,Andorra,total,Health care waste,2007,0,0,Limited service
AND,Andorra,total,Environmental cleaning,2007,100,82683,Insufficient data
AND,Andorra,urban,Environmental cleaning,2007,100,73842.531,Insufficient data
AND,Andorra,rural,Environmental cleaning,2007,100,8840.4678,Insufficient data
AND,Andorra,hospital,Environmental cleaning,2007,100,82683,Insufficient data
AND,Andorra,non_hospital,Environmental cleaning,2007,100,82683,Insufficient data
AND,Andorra,government,Environmental cleaning,2007,100,82683,Insufficient data
AND,Andorra,non_government,Environmental cleaning,2007,100,82683,Insufficient data
AND,Andorra,total,Hygiene,2007,100,82683,Insufficient data
AND,Andorra,urban,Hygiene,2007,100,73842.531,Insufficient data
AND,Andorra,rural,Hygiene,2007,100,8840.4678,Insufficient data
AND,Andorra,hospital,Hygiene,2007,100,82683,Insufficient data
AND,Andorra,non_hospital,Hygiene,2007,100,82683,Insufficient data
AND,Andorra,government,Hygiene,2007,100,82683,Insufficient data
AND,Andorra,non_government,Hygiene,2007,100,82683,Insufficient data
AND,Andorra,total,Sanitation,2007,100,82683,Insufficient data
AND,Andorra,urban,Sanitation,2007,100,73842.531,Insufficient data
AND,Andorra,rural,Sanitation,2007,100,8840.4678,Insufficient data
AND,Andorra,hospital,Sanitation,2007,100,82683,Insufficient data
AND,Andorra,non_hospital,Sanitation,2007,100,82683,Insufficient data
AND,Andorra,government,Sanitation,2007,100,82683,Insufficient data
AND,Andorra,non_government,Sanitation,2007,100,82683,Insufficient data
AND,Andorra,total,Water,2007,0,0,Insufficient data
AND,Andorra,urban,Water,2007,100,73842.531,Insufficient data
AND,Andorra,rural,Water,2007,100,8840.4678,Insufficient data
AND,Andorra,hospital,Water,2007,100,82683,Insufficient data
AND,Andorra,non_hospital,Water,2007,100,82683,Insufficient data
AND,Andorra,government,Water,2007,100,82683,Insufficient data
AND,Andorra,non_government,Water,2007,100,82683,Insufficient data
AND,Andorra,total,Health care waste,2007,0,0,Insufficient data
AND,Andorra,urban,Health care waste,2007,100,73842.531,Insufficient data
AND,Andorra,rural,Health care waste,2007,100,8840.4678,Insufficient data
AND,Andorra,hospital,Health care waste,2007,100,82683,Insufficient data
AND,Andorra,non_hospital,Health care waste,2007,100,82683,Insufficient data
AND,Andorra,government,Health care waste,2007,100,82683,Insufficient data
AND,Andorra,non_government,Health care waste,2007,100,82683,Insufficient data
AND,Andorra,total,Sanitation,2007,0,0,No service
AND,Andorra,total,Water,2007,0,0,No service
AND,Andorra,total,Health care waste,2007,0,0,No service
ARM,Armenia,total,Environmental cleaning,2007,100,2933056,Insufficient data
ARM,Armenia,urban,Environmental cleaning,2007,100,1869500.5,Insufficient data
ARM,Armenia,rural,Environmental cleaning,2007,100,1063555.5,Insufficient data
ARM,Armenia,hospital,Environmental cleaning,2007,100,2933056,Insufficient data
ARM,Armenia,non_hospital,Environmental cleaning,2007,100,2933056,Insufficient data
ARM,Armenia,government,Environmental cleaning,2007,100,2933056,Insufficient data
ARM,Armenia,non_government,Environmental cleaning,2007,100,2933056,Insufficient data
ARM,Armenia,total,Hygiene,2007,100,2933056,Insufficient data
ARM,Armenia,urban,Hygiene,2007,100,1869500.5,Insufficient data
ARM,Armenia,rural,Hygiene,2007,100,1063555.5,Insufficient data
ARM,Armenia,hospital,Hygiene,2007,100,2933056,Insufficient data
ARM,Armenia,non_hospital,Hygiene,2007,100,2933056,Insufficient data
ARM,Armenia,government,Hygiene,2007,100,2933056,Insufficient data
ARM,Armenia,non_government,Hygiene,2007,100,2933056,Insufficient data
ARM,Armenia,total,Sanitation,2007,100,2933056,Insufficient data
ARM,Armenia,urban,Sanitation,2007,100,1869500.5,Insufficient data
ARM,Armenia,rural,Sanitation,2007,100,1063555.5,Insufficient data
ARM,Armenia,hospital,Sanitation,2007,100,2933056,Insufficient data
ARM,Armenia,non_hospital,Sanitation,2007,100,2933056,Insufficient data
ARM,Armenia,government,Sanitation,2007,100,2933056,Insufficient data
ARM,Armenia,non_government,Sanitation,2007,100,2933056,Insufficient data
ARM,Armenia,total,Water,2007,100,2933056,Insufficient data
ARM,Armenia,urban,Water,2007,100,1869500.5,Insufficient data
ARM,Armenia,rural,Water,2007,100,1063555.5,Insufficient data
ARM,Armenia,hospital,Water,2007,100,2933056,Insufficient data
ARM,Armenia,non_hospital,Water,2007,100,2933056,Insufficient data
ARM,Armenia,government,Water,2007,100,2933056,Insufficient data
ARM,Armenia,non_government,Water,2007,100,2933056,Insufficient data
ARM,Armenia,total,Health care waste,2007,100,2933056,Insufficient data
ARM,Armenia,urban,Health care waste,2007,100,1869500.5,Insufficient data
ARM,Armenia,rural,Health care waste,2007,100,1063555.5,Insufficient data
ARM,Armenia,hospital,Health care waste,2007,100,2933056,Insufficient data
ARM,Armenia,non_hospital,Health care waste,2007,100,2933056,Insufficient data
ARM,Armenia,government,Health care waste,2007,100,2933056,Insufficient data
ARM,Armenia,non_government,Health care waste,2007,100,2933056,Insufficient data
ARM,Armenia,total,Water,2007,0,0,No service
ATG,Antigua and Barbuda,total,Environmental cleaning,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,urban,Environmental cleaning,2007,100,25588.508,Insufficient data
ATG,Antigua and Barbuda,rural,Environmental cleaning,2007,100,65792.492,Insufficient data
ATG,Antigua and Barbuda,hospital,Environmental cleaning,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,non_hospital,Environmental cleaning,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,government,Environmental cleaning,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,non_government,Environmental cleaning,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,total,Hygiene,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,urban,Hygiene,2007,100,25588.508,Insufficient data
ATG,Antigua and Barbuda,rural,Hygiene,2007,100,65792.492,Insufficient data
ATG,Antigua and Barbuda,hospital,Hygiene,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,non_hospital,Hygiene,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,government,Hygiene,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,non_government,Hygiene,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,total,Sanitation,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,urban,Sanitation,2007,100,25588.508,Insufficient data
ATG,Antigua and Barbuda,rural,Sanitation,2007,100,65792.492,Insufficient data
ATG,Antigua and Barbuda,hospital,Sanitation,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,non_hospital,Sanitation,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,government,Sanitation,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,non_government,Sanitation,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,total,Water,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,urban,Water,2007,100,25588.508,Insufficient data
ATG,Antigua and Barbuda,rural,Water,2007,100,65792.492,Insufficient data
ATG,Antigua and Barbuda,hospital,Water,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,non_hospital,Water,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,government,Water,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,non_government,Water,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,total,Health care waste,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,urban,Health care waste,2007,100,25588.508,Insufficient data
ATG,Antigua and Barbuda,rural,Health care waste,2007,100,65792.492,Insufficient data
ATG,Antigua and Barbuda,hospital,Health care waste,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,non_hospital,Health care waste,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,government,Health care waste,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,non_government,Health care waste,2007,100,91381,Insufficient data
ATG,Antigua and Barbuda,total,Sanitation,2007,0,0,No service
ATG,Antigua and Barbuda,hospital,Sanitation,2007,0,0,No service
ATG,Antigua and Barbuda,government,Sanitation,2007,0,0,No service
ATG,Antigua and Barbuda,non_government,Sanitation,2007,0,0,No service
ATG,Antigua and Barbuda,total,Water,2007,0,0,No service
ATG,Antigua and Barbuda,hospital,Water,2007,0,0,No service
ATG,Antigua and Barbuda,non_hospital,Water,2007,0,0,No service
ATG,Antigua and Barbuda,government,Water,2007,0,0,No service
ATG,Antigua and Barbuda,non_government,Water,2007,0,0,No service
AUT,Austria,total,Environmental cleaning,2007,100,8311783,Insufficient data
AUT,Austria,urban,Environmental cleaning,2007,100,4841530.5,Insufficient data
AUT,Austria,rural,Environmental cleaning,2007,100,3470252.5,Insufficient data
AUT,Austria,hospital,Environmental cleaning,2007,100,8311783,Insufficient data
AUT,Austria,non_hospital,Environmental cleaning,2007,100,8311783,Insufficient data
AUT,Austria,government,Environmental cleaning,2007,100,8311783,Insufficient data
AUT,Austria,non_government,Environmental cleaning,2007,100,8311783,Insufficient data
AUT,Austria,total,Hygiene,2007,100,8311783,Insufficient data
