ISO3,Country,Residence / Facility Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Environmental cleaning,2000,100,20093756,Insufficient data
AFG,Afghanistan,urban,Environmental cleaning,2000,100,4436299.5,Insufficient data
AFG,Afghanistan,rural,Environmental cleaning,2000,100,15657457,Insufficient data
AFG,Afghanistan,hospital,Environmental cleaning,2000,100,20093756,Insufficient data
AFG,Afghanistan,non_hospital,Environmental cleaning,2000,100,20093756,Insufficient data
AFG,Afghanistan,government,Environmental cleaning,2000,100,20093756,Insufficient data
AFG,Afghanistan,non_government,Environmental cleaning,2000,100,20093756,Insufficient data
AFG,Afghanistan,total,Hygiene,2000,100,20093756,Insufficient data
AFG,Afghanistan,urban,Hygiene,2000,100,4436299.5,Insufficient data
AFG,Afghanistan,rural,Hygiene,2000,100,15657457,Insufficient data
AFG,Afghanistan,hospital,Hygiene,2000,100,20093756,Insufficient data
AFG,Afghanistan,non_hospital,Hygiene,2000,100,20093756,Insufficient data
AFG,Afghanistan,government,Hygiene,2000,100,20093756,Insufficient data
AFG,Afghanistan,non_government,Hygiene,2000,100,20093756,Insufficient data
AFG,Afghanistan,total,Sanitation,2000,100,20093756,Insufficient data
AFG,Afghanistan,urban,Sanitation,2000,100,4436299.5,Insufficient data
AFG,Afghanistan,rural,Sanitation,2000,100,15657457,Insufficient data
AFG,Afghanistan,hospital,Sanitation,2000,100,20093756,Insufficient data
AFG,Afghanistan,non_hospital,Sanitation,2000,100,20093756,Insufficient data
AFG,Afghanistan,government,Sanitation,2000,100,20093756,Insufficient data
AFG,Afghanistan,non_government,Sanitation,2000,100,20093756,Insufficient data
AFG,Afghanistan,total,Water,2000,100,20093756,Insufficient data
AFG,Afghanistan,urban,Water,2000,100,4436299.5,Insufficient data
AFG,Afghanistan,rural,Water,2000,100,15657457,Insufficient data
AFG,Afghanistan,hospital,Water,2000,100,20093756,Insufficient data
AFG,Afghanistan,non_hospital,Water,2000,100,20093756,Insufficient data
AFG,Afghanistan,government,Water,2000,100,20093756,Insufficient data
AFG,Afghanistan,non_government,Water,2000,100,20093756,Insufficient data
AFG,Afghanistan,total,Health care waste,2000,100,20093756,Insufficient data
